product_category_name_english,total_revenue,total_orders,avg_order_value
health_beauty,1258681.34,9670,130.16
watches_gifts,1205005.68,5991,201.14
bed_bath_table,1036988.68,11115,93.3
sports_leisure,988048.97,8641,114.34
computers_accessories,911954.32,7827,116.51
furniture_decor,729762.49,8334,87.56
cool_stuff,635290.85,3796,167.36
housewares,632248.66,6964,90.79
auto,592720.11,4235,139.96
garden_tools,485256.46,4347,111.63
toys,483946.6,4117,117.55
baby,411764.89,3065,134.34
perfumery,399124.87,3419,116.74
telephony,323667.53,4545,71.21
office_furniture,273960.7,1691,162.01
