order_id,order_estimated_delivery_date,order_delivered_customer_date,delivery_delay
e481f51cbdc54678b7cc49136f2d6af7,2017-10-18 00:00:00,2017-10-10 21:25:13,-7.1
53cdb2fc8bc7dce0b6741e2150273451,2018-08-13 00:00:00,2018-08-07 15:27:45,-5.4
47770eb9100c2d0c44946d9cf07ec65d,2018-09-04 00:00:00,2018-08-17 18:06:29,-17.2
949d5b44dbf5de918fe9c16f97b45f8a,2017-12-15 00:00:00,2017-12-02 00:28:42,-13.0
ad21c59c0840e6cb83a9ceb5573f8159,2018-02-26 00:00:00,2018-02-16 18:17:02,-9.2
a4591c265e18cb1dcee52889e2d8acc3,2017-08-01 00:00:00,2017-07-26 10:57:55,-5.5
6514b8ad8028c9f2cc2374ded245783f,2017-06-07 00:00:00,2017-05-26 12:55:51,-11.5
76c6e866289321a7c93b82b54852dc33,2017-03-06 00:00:00,2017-02-02 14:08:10,-31.4
e69bfb5eb88e0ed6a785585b27e16dbf,2017-08-23 00:00:00,2017-08-16 17:14:30,-6.3
e6ce16cb79ec1d90b1da9085a6118aeb,2017-06-07 00:00:00,2017-05-29 11:18:31,-8.5
34513ce0c4fab462a55830c0989c7edb,2017-08-08 00:00:00,2017-07-19 14:04:48,-19.4
82566a660a982b15fb86e904c8d32918,2018-07-18 00:00:00,2018-06-19 12:05:52,-28.5
5ff96c15d0b717ac6ad1f3d77225a350,2018-08-08 00:00:00,2018-07-30 15:52:25,-8.3
432aaf21d85167c2c86ec9448c4e42cc,2018-03-21 00:00:00,2018-03-12 23:36:26,-8.0
dcb36b511fcac050b97cd5c05de84dc3,2018-07-04 00:00:00,2018-06-21 15:34:32,-12.4
403b97836b0c04a622354cf531062e5f,2018-02-06 00:00:00,2018-01-20 01:38:59,-16.9
116f0b09343b49556bbad5f35bee0cdf,2018-01-29 00:00:00,2018-01-08 22:36:36,-20.1
85ce859fd6dc634de8d2f1e290444043,2017-12-11 00:00:00,2017-11-27 18:28:00,-13.2
83018ec114eee8641c97e08f7b4e926f,2017-11-23 00:00:00,2017-11-08 22:22:00,-14.1
203096f03d82e0dffbc41ebc2e2bcfb7,2017-09-28 00:00:00,2017-10-09 22:23:46,11.9
